Description,Price,ModleName,Carrier,Brand,FormFactor,Memory,OperatingSystem,Color,Cellular,SimCount,Year,AdditionalComponents,SellerStore,StoreLink,ProductLink
"6.8 Inch Unlocked Smartphones,Xgody K30 Android 10.0 Cell Phone Cheap,Dual Sim Free Phones,Dual 5MP + 64GB Storage(Purple)",$85.99,K30,AT&T,Xgody,Smartphone,8 GB,Android 10.0,Purple,"3G, 2G",Dual SIM,,"Adapter, USB Cable",Xgody Store,https://www.amazon.com/stores/Xgody/page/F8090749-375F-4C7D-8091-9D026278B221?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0922604362S20G41XP97&url=%2FUnlocked-Smartphones-Xgody-K30-Android%2Fdp%2FB08FT1NWGR%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080914%26sr%3D8-11-spons%26psc%3D1&qualifier=1646080914&id=7822729215197307&widgetName=sp_mtf
Nokia XR20 5G | Android 11 | Unlocked Smartphone | Dual SIM | US Version | 6/128GB | 6.67-Inch Screen | 48MP Dual Camera | Polar Night,$549.99,Nokia XR20,Unlocked,Nokia,Bar,128 GB,Android 11.0,Polar Night,"5G, 4G LTE",Dual SIM,2021.0,,ia,https://www.amazon.com/Nokia/b/ref=bl_dp_s_web_2530015011?ie=UTF8&node=2530015011&field-lbr_brands_browse-bin=Nokia,https://www.amazon.com//Nokia-Android-Unlocked-Smartphone-6-67-Inch/dp/B09DHSPDRQ/ref=sr_1_12?keywords=used+phones&qid=1646080914&sr=8-12
"Samsung Galaxy A12 (32GB, 3GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Global 4G Volte Unlocked (T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",$154.99,Samsung A12,T-Mobile,Samsung Electronics,Smartphone,32 GB,Android,Black,4G,Single SIM,,"Adapter, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-A12-Unlocked-T-Mobile/dp/B0991J62ZY/ref=sr_1_13?keywords=used+phones&qid=1646080914&sr=8-13
Unlocked Smartphone - KXD 6A Cheap Smartphones Unlock Dual SIM - 3G Android Cell Phone Full-Screen - 1+8GB/ 64GB Extension - Face ID - 8MP+5MP Camera - Black,$69.99,6A,Unlocked for All Carriers,KXD,Smartphone,8 GB,Android,Black,3G,Dual SIM,2021.0,,,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=KXD,https://www.amazon.com//Unlocked-Smartphone-Smartphones-Full-Screen-Extension/dp/B09D78KQ4Q/ref=sr_1_14?keywords=used+phones&qid=1646080914&sr=8-14
"TCL 10 SE Unlocked Android Smartphone, 6.52"" V-Notch Display, US Version Cell Phone with 16 MP Rear AI Triple-Camera 4GB RAM + 64GB ROM, 4000mAh Fast Charging Battery, Polar Night",$159.99,TCL 10 SE,AT&T,TCL,Smartphone,64 GB,Android 10.0,Polar Night,4G,Single SIM,2020.0,,TCL Store,https://www.amazon.com/stores/TCL/page/0BC8946D-897E-41F0-837E-F776CEDFD8B3?ref_=ast_bln,https://www.amazon.com//TCL-Unlocked-Smartphone-Triple-Camera-Charging/dp/B09295GRFS/ref=sr_1_15?keywords=used+phones&qid=1646080914&sr=8-15
"Xgody Mate10+ Smartphone Unlocked, Android 8.1 Cell Phones Cheap, Dual Sim-Free Mobile Phones with 5.5 inch HD Display, Dual 5MP Beauty Cameras + 8GB ROM (Gold)",$66.99,Mate10+,AT&T,Xgody,Smartphone,8 GB,Android,Gold,"3G, 2G",Dual SIM,,"Adapter, Screen Protector, USB Cable",Xgody Store,https://www.amazon.com/stores/Xgody/page/F8090749-375F-4C7D-8091-9D026278B221?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A092281627WOESV7IF8T0&url=%2FXgody-Smartphone-Unlocked-Android-Sim-Free%2Fdp%2FB08NF1M8JF%2Fref%3Dsr_1_16_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080914%26sr%3D8-16-spons%26psc%3D1&qualifier=1646080914&id=7822729215197307&widgetName=sp_mtf
SAMSUNG Galaxy Note8 N950U 64GB Unlocked GSM LTE Android Phone w/ Dual 12 Megapixel Camera - Midnight Black,$429.98,Samsung Galaxy Note8 (US Version) 64GB (Midnight Black),Unlocked,Samsung Electronics,Touchscreen,64 GB,Android 7.1,MID-NIGHT BLACK,"2G, 3G, 4G, 4G LTE, GSM",,2018.0,"Phone, USBC Cable, Home Charger, Stereo Headphones",Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Galaxy-Unlocked-Android-Megapixel/dp/B07536MYBQ/ref=sr_1_17?keywords=used+phones&qid=1646080914&sr=8-17
Google - Pixel 3a XL with 64GB Memory Cell Phone (Unlocked) - Purple-ish,$370.00,Google Pixel 3a XL,Unlocked,Google,Smartphone,1 GB,"Chrome OS, Android",Purple-ish,4G,Single SIM,2019.0,,Google Store,https://www.amazon.com/stores/GoogleLLC/page/080B7645-8292-4117-A6CA-1BF598F3FE26?ref_=ast_bln,https://www.amazon.com//Google-Pixel-Memory-Unlocked-Purple-ish/dp/B07R4C6KQY/ref=sr_1_18?keywords=used+phones&qid=1646080914&sr=8-18
"Nokia 3.1 - Android 9.0 Pie - 16 GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/Mint) - 5.2"" Screen - Black - U.S. Warranty",$99.00,Nokia 3.1,AT&T,Nokia,Smartphone,16 GB,Android,Black,LTE,Dual SIM,,"Wall Adapter, Device, Manual, Data Cable",ia,https://www.amazon.com/Nokia/b/ref=bl_dp_s_web_2530015011?ie=UTF8&node=2530015011&field-lbr_brands_browse-bin=Nokia,https://www.amazon.com//Nokia-3-1-Unlocked-Smartphone-T-Mobile/dp/B07DDBQ67F/ref=sr_1_19?keywords=used+phones&qid=1646080914&sr=8-19
"Samsung Galaxy A12 Nacho (64GB, 4GB) 6.5"" HD+, Exynos 850, 48MP Quad Camera, Dual SIM GSM Unlocked Global 4G Volte (T-Mobile, AT&T, Metro) International Model A127M/DS (64GB SD Bundle, Black)",$188.00,,Unlocked for All Carriers,Samsung Electronics,,64 GB,Android 11,Black,,Dual SIM,,,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Unlocked-International-A127M-DS/dp/B09FFM4Y26/ref=sr_1_20?keywords=used+phones&qid=1646080914&sr=8-20
"i12 Pro MAX Unlocked Smartphone, 6.26in HD Screen Mobile Phone, 1+8G Dual Sim Cell Phone for Android 8.1 Gold(US)",$120.99,,AT&T,Dilwe1,Smartphone,8 GB,Android 8.1,Gold,3G,Dual SIM,,"Earphone, Adapter, Screen Protector, Phone Case, USB Cable",we1,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Dilwe1,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A05233881BY8ZUALQV421&url=%2FUnlocked-Smartphone-6-26in-Screen-Android%2Fdp%2FB08RZ4D19Y%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080914%26sr%3D8-21-spons%26psc%3D1%26smid%3DAET9B0FNKDKRC&qualifier=1646080914&id=7822729215197307&widgetName=sp_btf
"Google Pixel 2 GSM/CDMA Google Unlocked (Clearly White, 64GB) (Renewed)",$134.90,Pixel 2,Unlocked,Google,Smartphone,64 GB,Google_android,White,"4G, 3G, 2G",Single SIM,,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08079942SRCZA1IJXZIP&url=%2FGoogle-Unlocked-warranty-Certified-Refurbished%2Fdp%2FB07F1B967S%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080914%26sr%3D8-22-spons%26psc%3D1&qualifier=1646080914&id=7822729215197307&widgetName=sp_btf
"6.8 Inch Unlocked Smartphones,Xgody K30 Android 10.0 Cell Phone Cheap,Dual Sim Free Phones,Dual 5MP + 64GB Storage(Green)",$89.99,K30,Unlocked for All Carriers,Xgody,Smartphone,64 GB,Android 10.0,Green,"3G, 2G",Dual SIM,,"Adapter, USB Cable",Xgody Store,https://www.amazon.com/stores/Xgody/page/F8090749-375F-4C7D-8091-9D026278B221?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0922480T4W75XLC68WC&url=%2FUnlocked-Smartphones-Xgody-K30-Android%2Fdp%2FB08FSNV5XZ%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080917%26sr%3D8-17-spons%26psc%3D1&qualifier=1646080917&id=3535412071934954&widgetName=sp_atf_next
"Xgody Mate10+ Smartphone Unlocked, Android 8.1 Cell Phones Cheap, Dual Sim-Free Mobile Phones with 5.5 inch HD Display, Dual 5MP Beauty Cameras + 8GB ROM (Blue)",$64.99,Mate10+,AT&T,Xgody,Smartphone,8 GB,Android,Blue,"3G, 2G",Dual SIM,,"Adapter, Screen Protector, USB Cable",Xgody Store,https://www.amazon.com/stores/Xgody/page/F8090749-375F-4C7D-8091-9D026278B221?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A09226601MLNI5ND1ZSTM&url=%2FXgody-Smartphone-Unlocked-Android-Sim-Free%2Fdp%2FB08NF29GL7%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080917%26sr%3D8-18-spons%26psc%3D1&qualifier=1646080917&id=3535412071934954&widgetName=sp_atf_next
"Unlocked Cell Phone, P5-F17pro Android Smartphone, 5.75-inch IPS Full-Screen，1GB RAM 8GB ROM，Front and Rear Cameras，Only Supports The SIM Card Frequency Band of 3GWCDMA (850/2100MHZ) (Blue)",$59.99,P5,T-Mobile,Aderroo,Smartphone,8 GB,Android,Blue,3G,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//P5-F17pro-Smartphone-5-75-inch-Full-Screen%EF%BC%8C1GB-Cameras%EF%BC%8COnly/dp/B091TGN7SP/ref=sr_1_19?keywords=used+phones&qid=1646080917&sr=8-19
"Alcatel Verso 5044C | (16GB, 2GB RAM) | 5.0"" Full HD Display | 5MP Camera | 2050 mAh Battery | Android 7.0 Nougat | 4G LTE Smartphone | (GSM Unlocked)",$69.95,Ideal Xcite,"Unlocked, Straight Talk, Net10",Alcatel,Smartphone,16 GB,Android 7.0,Black,"2G, 3G, 4G LTE",,2018.0,Adapter,atel,https://www.amazon.com/Alcatel/b/ref=bl_dp_s_web_5222623011?ie=UTF8&node=5222623011&field-lbr_brands_browse-bin=Alcatel,https://www.amazon.com//Alcatel-Unlocked-5044R-Caribbean-IdealXcite/dp/B0747WWP4D/ref=sr_1_20?keywords=used+phones&qid=1646080917&sr=8-20
Moto G Power | 2021 | 3-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 48MP Camera | Silver,$169.99,Moto G power | 2021 | Unlocked | Made for US by Motorola | 3/32GB | 48MP Camera | Silver,Unlocked,Motorola,Smartphone,32 GB,Android 10.0,Silver,4G,,2021.0,"Sim tool, 10W rapid charger, Phone - moto g power (2021), User guide",orola,https://www.amazon.com/Motorola/b/ref=bl_dp_s_web_21200964011?ie=UTF8&node=21200964011&field-lbr_brands_browse-bin=Motorola,https://www.amazon.com//battery-Unlocked-Motorola-Camera-Silver/dp/B08NWDMR9N/ref=sr_1_21?keywords=used+phones&qid=1646080917&sr=8-21
"Samsung Galaxy A12 (A127F) 128GB Dual SIM, GSM Unlocked, (CDMA Verizon/Sprint Not Supported) Smartphone International Version (Fast Car Charger Bundle) No Warranty (Blue)",$179.00,A12,Unlocked,Samsung Electronics,Smartphone,128 GB,Android 11,Blue,GSM,Dual SIM,2021.0,,Samsung Electronics Store,https://www.amazon.com/stores/SamsungElectronics/page/5DE4E0B0-7C27-45B4-9406-2291193DCBEF?ref_=ast_bln,https://www.amazon.com//Samsung-Unlocked-Supported-Smartphone-International/dp/B09G72KR4D/ref=sr_1_22?keywords=used+phones&qid=1646080917&sr=8-22
"i12 Pro MAX Unlocked Smartphone, 6.26in HD Screen Mobile Phone, 1+8G Dual Sim Cell Phone for Android 8.1 Gold(US)",$120.99,,AT&T,Dilwe1,Smartphone,8 GB,Android 8.1,Gold,3G,Dual SIM,,"Earphone, Adapter, Screen Protector, Phone Case, USB Cable",we1,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Dilwe1,https://www.amazon.com//Unlocked-Smartphone-6-26in-Screen-Android/dp/B08RZ4D19Y/ref=sr_1_23?keywords=used+phones&qid=1646080917&sr=8-23
"BlackBerry KEY2 Black Unlocked GSM Android Smartphone 4G LTE, 64GB",,KEY2,Unlocked,BlackBerry,Smartphone,64 GB,Android 8.1,Black,"4G, 2G",Dual SIM,,"USB 2.0 Cable, Bat-cov cling, QSG, 3A Headset, SIM tray tool, Charger, SBI, Front cling",BlackBerry Store,https://www.amazon.com/stores/BlackBerry%C2%AE+Mobility/page/72F1E670-84CF-4756-81E3-EA2C203B8D7B?ref_=ast_bln,https://www.amazon.com//BlackBerry-Unlocked-Android-Smartphone-T-Mobile/dp/B07D7TJQ83/ref=sr_1_24?keywords=used+phones&qid=1646080917&sr=8-24
"(Renewed) Apple iPhone 8, 64GB, Gold - Unlocked",$184.99,IPhone 8,Verizon,Apple,Smartphone,64 GB,Ios,Gold,4G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-Fully-Unlocked-64GB/dp/B0775717ZP/ref=sr_1_25?keywords=used+phones&qid=1646080917&sr=8-25
"(Renewed)Samsung Galaxy S10e, 128GB, Prism Black - Unlocked",$235.95,Galaxy S10e,Unlocked,Samsung Electronics,Bar,128 GB,Android,Prism Black,2G,Single SIM,2018.0,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-128GB-Prism-Black/dp/B082T4F34B/ref=sr_1_26?keywords=used+phones&qid=1646080917&sr=8-26
Tracfone Motorola Moto e 4G LTE Prepaid Smartphone (Locked) - Midnight Blue - 32GB - Sim Card Included - CDMA,$54.90,Moto E,Tracfone,Motorola,Smartphone,32 GB,Android,Midnight Blue,LTE,,,"Phone, SIM, Charger",Motorola Store,https://www.amazon.com/stores/Tracfone/page/64B4FC0C-8D94-48E8-AF60-E606E348588D?ref_=ast_bln,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0344232BEFGI9I535LA&url=%2FTracFone-Motorola-Prepaid-Smartphone-Locked%2Fdp%2FB08J4JCXDH%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080917%26sr%3D8-27-spons%26psc%3D1&qualifier=1646080917&id=3535412071934954&widgetName=sp_mtf
"6.26inch IPS Full-Screen, A15spro Android Smartphone,3GWCDMA: 850/2100MHZ SIM Card Band, Front and Rear Cameras,1GB RAM 16GB ROM,Unlocked Cell Phone(Black)",$64.99,A15Spro,Unlocked for All Carriers,Aderroo,Smartphone,16 GB,Android,Black,WCDMA,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0107248IJ5OMY6GZ713&url=%2F6-26inch-Full-Screen-A15spro-Android-Smartphone%2Fdp%2FB09BCBSMT4%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dused%2Bphones%26qid%3D1646080917%26sr%3D8-28-spons%26psc%3D1&qualifier=1646080917&id=3535412071934954&widgetName=sp_mtf
"Samsung Galaxy S9+, 64GB, Midnight Black - Fully Unlocked (Renewed)",$218.95,Galaxy S9 Plus,Unlocked,Samsung Electronics,Smartphone,64 GB,Android 10.0,Midnight Black,LTE,Single SIM,,"Adapter, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Galaxy-SM-G9650-Factory-Unlocked/dp/B07D3Z9ZST/ref=sr_1_29?keywords=used+phones&qid=1646080917&sr=8-29
Moto E | Unlocked | Made for US by Motorola | 2/32GB | 13MP Camera | 2020 | Blue,$149.99,Moto E,Unlocked,Motorola,Smartphone,32 GB,Android 10.0,Blue,4G,Single SIM,2020.0,,Motorola Store,https://www.amazon.com/stores/Motorola/page/5293F48E-1F7B-4C0E-9617-ADF6A7EDD190?ref_=ast_bln,https://www.amazon.com//Moto-Unlocked-Motorola-Camera-XT2052-1/dp/B086H3HH5V/ref=sr_1_30?keywords=used+phones&qid=1646080917&sr=8-30
"SAMSUNG Electronics Galaxy Note 20 5G N981U Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, T-Mobile Locked - (Renewed)",$670.00,Note 20 5G,T-Mobile,Samsung Electronics,Smartphone,128 GB,Android,Mystic Gray,5G,,,,Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Electronics-Galaxy-5G-Smartphone-Long-Lasting/dp/B0933PC4MD/ref=sr_1_31?keywords=used+phones&qid=1646080917&sr=8-31
"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",$780.00,IPhone 12 Pro,Unlocked,Apple,,128 GB,,Pacific Blue,,,,"Adapter, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Apple-iPhone-128GB-Pacific-Blue/dp/B08PMYLKVF/ref=sr_1_32?keywords=used+phones&qid=1646080917&sr=8-32
"(Renewed)Samsung Galaxy S10, 128GB, Prism Blue - Unlocked",$250.00,Galaxy S10,Unlocked,Samsung Electronics,Smartphone,128 GB,Android,Prism Blue,2G,Single SIM,,"Adapter, USB Cable",Amazon Renewed Store,https://www.amazon.com/Amazon-Renewed/b/ref=bl_dp_s_web_12653393011?ie=UTF8&node=12653393011&field-lbr_brands_browse-bin=Amazon+Renewed,https://www.amazon.com//Samsung-Factory-Unlocked-Warranty-Renewed/dp/B07PFL3DFX/ref=sr_1_33?keywords=used+phones&qid=1646080917&sr=8-33
"Unlocked Cell Phone, W8 Android Smartphone, 5.75-inch IPS Full-Screen，1GB RAM 8GB ROM，Front and Rear Cameras，Only Supports The SIM Card Frequency Band of 3GWCDMA (850/2100MHZ) red",$58.99,W8,Unlocked for All Carriers,Aderroo,Smartphone,8 GB,Android,Red,WCDMA,Dual SIM,2021.0,,rroo,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=aderroo,https://www.amazon.com//W8-Smartphone-5-75-inch-Full-Screen%EF%BC%8C1GB-Cameras%EF%BC%8COnly/dp/B09FF1K17Q/ref=sr_1_34?keywords=used+phones&qid=1646080917&sr=8-34
"Unlocked Cell Phone, P40PRO+ Android Smartphone, 6.26inch IPS Full-Screen, 3GWCDMA: 850/2100MHZ SIM Card Band, 2GB RAM 16GB ROM, 8MP+8MP, 3800mAh (Blue)",$69.99,,Unlocked,Attila,Smartphone,16 GB,Android,Blue,"3G, 2G",Dual SIM,2020.0,屏幕保护膜,ila,https://www.amazon.com/s/ref=bl_dp_s_web_0?ie=UTF8&search-alias=aps&field-keywords=Attila,https://www.amazon.com//Unlocked-Android-Smartphone-6-26inch-Full-Screen/dp/B089PZ29XV/ref=sr_1_35?keywords=used+phones&qid=1646080917&sr=8-35
